0.2.1.3.0.0;0.2.1.3.0.0.0;257700 / 257700;0
0.2.1.3.0.0.0;0.2.1.3.0.0.0.0;-30200 / 30200;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.1;-34500 / 34500;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.2;-33800 / 33800;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.3;-29600 / 29600;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.4;-31100 / 31100;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.5;-32600 / 32600;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.6;-32300 / 32300;1
0.2.1.3.0.0.0;0.2.1.3.0.0.0.7;-33500 / 33500;1
0.2.1.3.0.0.0.0;0.2.1.3.0.0.0.0.0;-6100 / 6100;1
0.2.1.3.0.0.0.0;0.2.1.3.0.0.0.0.1;-6100 / 6100;1
0.2.1.3.0.0.0.0;0.2.1.3.0.0.0.0.2;-6000 / 6000;1
0.2.1.3.0.0.0.0;0.2.1.3.0.0.0.0.3;-6000 / 6000;1
0.2.1.3.0.0.0.0;0.2.1.3.0.0.0.0.4;-6000 / 6000;1
0.2.1.3.0.0.0.1;0.2.1.3.0.0.0.1.0;-6900 / 6900;1
0.2.1.3.0.0.0.1;0.2.1.3.0.0.0.1.1;-6900 / 6900;1
0.2.1.3.0.0.0.1;0.2.1.3.0.0.0.1.2;-6900 / 6900;1
0.2.1.3.0.0.0.1;0.2.1.3.0.0.0.1.3;-6900 / 6900;1
0.2.1.3.0.0.0.1;0.2.1.3.0.0.0.1.4;-6900 / 6900;1
0.2.1.3.0.0.0.2;0.2.1.3.0.0.0.2.0;-6800 / 6800;1
0.2.1.3.0.0.0.2;0.2.1.3.0.0.0.2.1;-6800 / 6800;1
0.2.1.3.0.0.0.2;0.2.1.3.0.0.0.2.2;-6800 / 6800;1
0.2.1.3.0.0.0.2;0.2.1.3.0.0.0.2.3;-6700 / 6700;1
0.2.1.3.0.0.0.2;0.2.1.3.0.0.0.2.4;-6700 / 6700;1
0.2.1.3.0.0.0.3;0.2.1.3.0.0.0.3.0;-6000 / 6000;1
0.2.1.3.0.0.0.3;0.2.1.3.0.0.0.3.1;-5900 / 5900;1
0.2.1.3.0.0.0.3;0.2.1.3.0.0.0.3.2;-5900 / 5900;1
0.2.1.3.0.0.0.3;0.2.1.3.0.0.0.3.3;-5900 / 5900;1
0.2.1.3.0.0.0.3;0.2.1.3.0.0.0.3.4;-5900 / 5900;1
0.2.1.3.0.0.0.4;0.2.1.3.0.0.0.4.0;-6300 / 6300;1
0.2.1.3.0.0.0.4;0.2.1.3.0.0.0.4.1;-6200 / 6200;1
0.2.1.3.0.0.0.4;0.2.1.3.0.0.0.4.2;-6200 / 6200;1
0.2.1.3.0.0.0.4;0.2.1.3.0.0.0.4.3;-6200 / 6200;1
0.2.1.3.0.0.0.4;0.2.1.3.0.0.0.4.4;-6200 / 6200;1
0.2.1.3.0.0.0.5;0.2.1.3.0.0.0.5.0;-6600 / 6600;1
0.2.1.3.0.0.0.5;0.2.1.3.0.0.0.5.1;-6500 / 6500;1
0.2.1.3.0.0.0.5;0.2.1.3.0.0.0.5.2;-6500 / 6500;1
0.2.1.3.0.0.0.5;0.2.1.3.0.0.0.5.3;-6500 / 6500;1
0.2.1.3.0.0.0.5;0.2.1.3.0.0.0.5.4;-6500 / 6500;1
0.2.1.3.0.0.0.6;0.2.1.3.0.0.0.6.0;-6500 / 6500;1
0.2.1.3.0.0.0.6;0.2.1.3.0.0.0.6.1;-6500 / 6500;1
0.2.1.3.0.0.0.6;0.2.1.3.0.0.0.6.2;-6500 / 6500;1
0.2.1.3.0.0.0.6;0.2.1.3.0.0.0.6.3;-6400 / 6400;1
0.2.1.3.0.0.0.6;0.2.1.3.0.0.0.6.4;-6400 / 6400;1
0.2.1.3.0.0.0.7;0.2.1.3.0.0.0.7.0;-6700 / 6700;1
0.2.1.3.0.0.0.7;0.2.1.3.0.0.0.7.1;-6700 / 6700;1
0.2.1.3.0.0.0.7;0.2.1.3.0.0.0.7.2;-6700 / 6700;1
0.2.1.3.0.0.0.7;0.2.1.3.0.0.0.7.3;-6700 / 6700;1
