0.0.0.0.0.0.0;0.0.0.0.0.0.0.0;41800 / 41800;0
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0;-4500 / 4500;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.1;-5900 / 5900;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.2;-5300 / 5300;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.3;-7100 / 7100;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.4;-7100 / 7100;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.5;-5500 / 5500;1
0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.6;-6300 / 6300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.0;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.1;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.2;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.3;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.4;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.5;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.6;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.7;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.8;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.9;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.10;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.11;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.12;-300 / 300;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.13;-200 / 200;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.14;-200 / 200;1
0.0.0.0.0.0.0.0.0;0.0.0.0.0.0.0.0.0.15;-200 / 200;1
0.0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.0.1.0;-400 / 400;1
0.0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.0.1.1;-400 / 400;1
0.0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.0.1.2;-400 / 400;1
0.0.0.0.0.0.0.0.1;0.0.0.0.0.0.0.0.1.3;-400 / 400;1
